,Infected,Deaths,Recovered
0,1.0,0.0,0.0
1,1.0383567142604035,0.0006327596087167165,0.013262931542011915
2,1.1357321869433992,0.0036691842714999413,0.04752415357265745
3,1.276861770965636,0.009373978997513579,0.09771889329154423
4,1.455564667016992,0.01748078734502529,0.161642038732063
5,1.6706446761274438,0.02778472710737367,0.23880347053379689
6,1.9238935821219156,0.04024126119917818,0.32979213476318503
7,2.219106262970399,0.054949177075197746,0.43593517005574245
8,2.5616143541052594,0.07212015991036229,0.5591272652805624
9,2.9581010264423497,0.09205756395553519,0.7017591050543343
10,3.41657751127893,0.11514603749976823,0.8667051258771021
11,3.946460094344081,0.141849456542035,1.057348760545805
12,4.558716469151494,0.1727147270531795,1.2776336175740486
13,5.266066602900656,0.20837983340223692,1.5321348927822362
14,6.08323240340261,0.249585241275344,1.8261487086576735
15,7.0272360883283955,0.2971882738744303,2.1657991905354383
16,8.11775016140215,0.3521803827796308,2.558164231696345
17,9.377504908555126,0.4157074870350206,3.011422023412514
18,10.832760750711635,0.4890936750037788,3.535020958534554
19,12.513854897422922,0.5738687054683096,4.139876290248409
20,14.455833168746036,0.6717998328213486,4.838597446563461
21,16.699180607133414,0.7849286305958687,5.645750896476174
22,19.290665340894133,0.9156135350541927,6.578163768053117
23,22.284313177956534,1.0665789861326986,7.655274505706419
24,25.742534157961774,1.240972235907436,8.899538204553672
25,29.737423454279103,1.4424289480742638,10.336894676254804
26,34.35226436633072,1.675148994475852,11.997309230602069
27,39.683264761065146,1.9439840191577429,13.915397451730193
28,45.841562377922095,2.254538561365522,16.13114671392056
29,52.95554190530722,2.613286925021224,18.690749885964475
30,61.17351143470476,3.0277081034305144,21.647568315898322
31,70.66679413995865,3.5064417537636694,25.063244265214266
32,81.63329988712417,4.059468283754124,29.008985992731674
33,94.30165106853164,4.69831689259266,33.56705226116112
34,108.93594844593926,5.436305960564117,38.832467163753826
35,125.84127707093106,6.28882069456751,44.91500122301992
36,145.37006491218708,7.273633804926055,51.94145933171876
37,167.92943183395968,8.41127612858141,60.058325058785904
38,193.98967444197785,9.725464537024056,69.43481368860282
39,224.0940705052704,11.24359639908966,80.26640011048413
40,258.87020306983015,12.997320695362806,92.77889358320856
41,299.0430424688043,15.023197796817938,107.2331451093242
42,345.45005981524014,17.36346172543961,123.93048590216534
43,399.0586802473162,20.06690039339062,143.2190078909254
44,460.9864491307876,23.189872780948086,165.50082066909735
45,532.5243243669833,26.79748372263954,191.24043355875182
46,615.1635823886186,30.964941015889647,220.97443839557133
47,710.6268985783855,35.77912329529435,255.32269501753674
48,820.9042477952579,41.34039086050855,295.0012518347055
49,948.2943781866156,47.76467794200927,340.83727297003986
50,1095.4527063482817,55.18590894407328,393.78627739211345
51,1265.4466115248301,63.75878815986324,454.9520424002151
52,1461.8194422950014,73.66202927684262,525.6096447825321
53,1688.6642773124063,85.10207734937924,607.2320153553533
54,1950.7089829458669,98.31740121323887,701.5205631720038
55,2253.4151541566266,113.58348710406295,810.4408021830822
56,2603.0913774219043,131.218555820181,936.2631397196358
57,3007.0248343864305,151.59020669973333,1081.6102766408458
58,3473.632904217234,175.12307250259107,1249.5118192620453
59,4012.638372593876,202.3076681061564,1443.467406972079
60,4635.271675368127,233.71060676037234,1667.5195960380765
61,5354.504559029531,269.98640670534496,1926.3380865233669
62,6185.319717951072,311.8911198031993,2225.316945518986
63,7145.022194757982,360.29807588975495,2570.6869261480224
64,8253.598860945098,416.2160679747026,2969.645179664086
65,9534.133366398575,480.81034968463604,3430.505047755014
66,11013.285072754805,555.4268861413389,3962.869042558993
67,12721.841769923034,641.6203606708616,4577.828595848179
68,14695.357509684918,741.1865135661316,5288.194726725706
69,16974.888259439802,856.1994759690067,6108.764300758468
70,19607.839715826234,989.0548376072434,7056.6271697378925
71,22648.947911391107,1142.5195178862982,8151.5218044721205
72,26161.405251553537,1319.7891112612137,9416.244192356355
73,30218.160661970727,1524.5542031194207,10877.120653489217
74,34903.41788222208,1761.0769370674495,12564.55368279218
75,40314.35866448661,2034.2792686518044,14513.6510241553
76,46563.12644829233,2349.8448308928173,16764.9516475536
77,53779.10662427046,2714.336405377443,19365.262801148674
78,62111.54564972931,3135.3313888495027,22368.6250545462
79,71732.55497492556,3621.5779392481677,25837.42438153033
80,82840.54994217773,4183.17489565776,29843.673092548845
81,95664.1765340955,4831.779002929012,34470.48455009525
82,110466.77648015301,5580.843367098214,39813.76915607483
83,127551.43664874513,6445.8917552767225,45984.183803182736
84,147266.64196110456,7444.833536106247,53109.36777115644
85,170012.51092518037,8598.32496818208,61336.503720417655
86,196247.49119701554,9930.182389282154,70835.24000248653
87,226495.21283150674,11467.853265910424,81801.01049166713
88,261350.84762245562,13242.950027561135,94458.77644810513
89,301485.7013909142,15291.849692160757,109067.19233629988
90,347647.6491017667,17656.357966514774,125923.15167756249
91,400653.2920905307,20384.426315222325,145366.57044798994
92,461365.10044754506,23530.89453901998,167785.10949325783
93,530644.3534016071,27158.200559666297,193618.25734625763
94,609271.0266226736,31336.952533149324,223359.79944110513
95,697832.6214102424,36146.195496482265,257557.2477602266
96,796615.2992912707,41673.15022071005,296806.63477388053
97,905578.0867133167,48012.21801605959,341741.84302484815
98,1024504.4888435403,55263.239672889875,393020.11093203083
99,1153327.3294493058,63529.41349138655,451308.98683891026
100,1292452.4640065539,72915.7239819852,517281.91759905504
101,1442873.8697743963,83528.79000036731,591626.8177728299
102,1606052.9261050553,95478.48661514273,675065.5580816818
103,1783704.1354196926,108880.89572823938,768377.6706351871
