,Date,Infected,Deaths,Recovered
51,2020-03-13,11013.285141969322,555.4268864458165,3962.86904556881
52,2020-03-14,12721.841901887676,641.6203612582268,4577.828601634814
53,2020-03-15,14695.357759689436,741.1865146180966,5288.194737270706
54,2020-03-16,16974.888735289456,856.1994779588359,6108.764320744059
55,2020-03-17,19607.840625200053,989.0548415584888,7056.627208952376
56,2020-03-18,22648.949643803262,1142.5195254439723,8151.52187938668
57,2020-03-19,26161.40855059711,1319.789125646003,9416.244334967843
58,2020-03-20,30218.166950555125,1524.5542308420243,10877.120927410868
59,2020-03-21,34903.429854563336,1761.0769897370392,12564.554203558106
60,2020-03-22,40314.381461451136,2034.2793689456364,14513.652015776848
61,2020-03-23,46563.16985554258,2349.8450218816297,16764.953535882916
62,2020-03-24,53779.189271685806,2714.336769052753,19365.266396747473
63,2020-03-25,62111.702941501964,3135.332077780441,22368.631876263687
64,2020-03-26,71732.85440904072,3621.5792499210443,25837.43736254916
65,2020-03-27,82841.11999134067,4183.17739401304,29843.697824059887
66,2020-03-28,95665.26149496171,4831.783753377855,34470.531590983344
67,2020-03-29,110468.841503251,5580.852412502,39813.8587248813
68,2020-03-30,127555.36652385308,6445.908976360971,45984.35431924581
69,2020-03-31,147274.12077512714,7444.8664078689035,53109.692971949255
70,2020-04-01,170026.73618282084,8598.387507459569,61337.122441427855
71,2020-04-02,196274.54094787608,9930.301510874338,70836.41804486596
72,2020-04-03,226546.61924723192,11468.080082427772,81803.25268326727
73,2020-04-04,261448.45955973904,13243.381678159467,94463.04178822722
74,2020-04-05,301670.8080147144,15292.670609310473,109075.3004710689
75,2020-04-06,347997.9903189647,17657.91768800725,125938.5486982398
76,2020-04-07,401314.3354081323,20387.38625380408,145395.7683320171
77,2020-04-08,462606.42809989414,23536.50249922404,167840.36675625198
78,2020-04-09,532958.0169498636,27168.798955699443,193722.50736171572
79,2020-04-10,613534.3269776885,31356.905004340813,223555.53767957762
80,2020-04-11,705555.9162236501,36183.536338104124,257922.08274318883
81,2020-04-12,810272.3029811429,41742.41514903202,297479.29443681566
82,2020-04-13,928961.4571236059,48139.054511725946,342962.9690077745
83,2020-04-14,1062986.332875569,55491.40074427816,395191.0350987998
84,2020-04-15,1213908.6921979361,63930.45947955656,455068.08128919266
85,2020-04-16,1383604.5369336763,73601.17916379441,523593.26684106543
86,2020-04-17,1574312.4004848767,84663.8896941115,601873.0722485838
87,2020-04-18,1788602.1835183532,97296.41720561414,691138.2568300297
88,2020-04-19,2029307.0220416286,111696.72955042418,792762.786994677
89,2020-04-20,2299459.4268344096,128085.81102383362,908282.4409880205
90,2020-04-21,2602242.9844096857,146710.4723393431,1039411.6492477761
91,2020-04-22,2940950.483955593,167845.9085866866,1188058.0016199593
92,2020-04-23,3318935.3037827625,191797.91034200904,1356334.1937785326
93,2020-04-24,3739545.7578212772,218904.67387925336,1546567.1142564816
94,2020-04-25,4206035.903160304,249538.13164967106,1761303.4090448408
95,2020-04-26,4721448.327428871,284104.7009113033,2003310.597479539
96,2020-04-27,5288466.289908712,323045.2822537752,2275572.395362233
97,2020-04-28,5909234.134649918,366834.2943317886,2581276.632442397
98,2020-04-29,6585147.153100225,415977.4979473156,2923794.007650997
99,2020-04-30,7316614.640632676,471008.317276611,3306645.715723332
100,2020-05-01,8102804.080911884,532482.3737196244,3733458.1143984385
101,2020-05-02,8941378.8782019,600969.9467343609,4207902.805130903
102,2020-05-03,9828247.176914832,677046.1192110201,4733620.865327766
103,2020-05-04,10757344.649867611,761278.4486508543,5314130.823668918
104,2020-05-05,11720478.236457285,854212.1284862646,5952720.938363328
105,2020-05-06,12707260.138899166,956352.7713444356,6652327.669494689
106,2020-05-07,13705160.308356997,1068147.1587663551,7415403.816598349
107,2020-05-08,14699701.551985105,1189962.5416881396,8243781.449397015
108,2020-05-09,15674809.007137004,1322065.3606854326,9138536.514290767
109,2020-05-10,16613314.698621431,1464600.4629359418,10099863.269037405
110,2020-05-11,17497597.806708645,1617572.11181186,11126967.454119246
111,2020-05-12,18310323.468391024,1780828.172164014,12217987.466941161
112,2020-05-13,19035227.335939053,1954048.8493268255,13369951.503891569
113,2020-05-14,19657881.571640637,2136741.184758124,14578777.16991494
114,2020-05-15,20166375.949516073,2328240.1876474135,15839316.92496351
115,2020-05-16,20551853.744182896,2527717.075105548,17145449.673271213
116,2020-05-17,20808858.302457094,2734194.5055495608,18490214.74643008
117,2020-05-18,20935466.034643296,2946568.212276079,19865981.56581252
118,2020-05-19,20933206.115186103,3163633.8991212724,21264645.250426266
119,2020-05-20,20806788.86116867,3384117.8707050406,22677836.74085868
120,2020-05-21,20563681.211584866,3606709.653849573,24097135.50022745
121,2020-05-22,20213578.706048835,3830094.775134489,25514273.33859195
122,2020-05-23,19767825.343399826,4052985.9940201836,26921319.616728917
123,2020-05-24,19238829.01736546,4274151.511000298,28310840.096358333
124,2020-05-25,18639512.36082629,4492439.077763562,29676024.80968661
125,2020-05-26,17982827.105444487,4706795.261594865,31010782.368959248
126,2020-05-27,17281349.704252057,4916279.567341878,32309800.969672408
127,2020-05-28,16546965.205155034,5120073.450916257,33568578.10442722
128,2020-05-29,15790638.407058788,5317484.558294031,34783422.48343517
129,2020-05-30,15022265.23382892,5507946.738554342,35951432.593336
130,2020-05-31,14250593.365958745,5691016.485438255,37070456.471960574
131,2020-06-01,13483200.656959144,5866366.552615369,38139037.72347461
132,2020-06-02,12726517.79759002,6033777.474270217,39156352.09157367
133,2020-06-03,11985883.843620097,6193127.657838713,40122138.54388523
134,2020-06-04,11265624.471626407,6344382.65253247,41036628.210388795
135,2020-06-05,10569143.718973925,6487584.11274924,41900473.929597564
136,2020-06-06,9899022.602624543,6622838.862446212,42714682.38861763
137,2020-06-07,9257119.125326294,6750308.368453691,43480550.395543456
138,2020-06-08,8644665.777340202,6870198.862134863,44199606.22423571
139,2020-06-09,8062361.813878599,6982752.246735743,44873556.66091858
140,2020-06-10,7510458.60220934,7088237.89293652,45504239.926527195
141,2020-06-11,6988837.0721022375,7186945.338567608,46093584.50102715
142,2020-06-12,6497076.857729252,7279177.916619094,46643573.630630426
143,2020-06-13,6034517.242163382,7365247.2436414575,47156215.155350365
144,2020-06-14,5600310.1071759695,7445468.559259435,47633516.29114921
145,2020-06-15,5193465.536369598,7520156.804486164,48077462.837091975
146,2020-06-16,4812890.541709895,7589623.415856977,48490002.39411254
147,2020-06-17,4457421.714915084,7654173.716226711,48873031.06031171
148,2020-06-18,4125852.375770501,7714104.862484575,49228383.19113598
149,2020-06-19,3816954.9512266177,7769704.259686027,49557823.772354946
150,2020-06-20,3529499.143016594,7821248.38618209,49863043.03294022
151,2020-06-21,3262266.501816517,7869001.962192061,50145652.92618349
152,2020-06-22,3014061.941702887,7913217.409795857,50407185.17019383
153,2020-06-23,2783722.642706826,7954134.555472745,50649090.57430793
154,2020-06-24,2570124.7149343477,7991980.534253813,50872739.41674003
155,2020-06-25,2372188.044620245,8026969.852678475,51079422.63793179
156,2020-06-26,2188879.643192254,8059304.58082701,51270353.69058868
