time,one,two,three,four,five,six
141,17281350,14776520,16922246,12419322,12042113,16823707
142,16546965,14799671,16658501,12569440,12203217,16581898
143,15790638,14772681,16337420,12685461,12332754,16282452
144,15022265,14696902,15965189,12766625,12429809,15931223
145,14250593,14574296,15548300,12812576,12493829,15534415
146,13483201,14407360,15093359,12823357,12524628,15098401
147,12726518,14199043,14606929,12799402,12522381,14629559
148,11985884,13952657,14095387,12741514,12487610,14134134
149,11265624,13671783,13564809,12650840,12421170,13618121
150,10569144,13360186,13020889,12528834,12324213,13087169
151,9899023,13021724,12468868,12377220,12198166,12546518
152,9257119,12660275,11913505,12197947,12044687,12000953
153,8644666,12279666,11359045,11993146,11865629,11454774
154,8062362,11883609,10809225,11765087,11663004,10911790
155,7510459,11475659,10267277,11516130,11438936,10375322
156,6988837,11059168,9735952,11248687,11195627,9848219
157,6497077,10637260,9217544,10965183,10935319,9332880
158,6034517,10212808,8713927,10668019,10660258,8831287
159,5600310,9788421,8226587,10359542,10372666,8345034
160,5193466,9366444,7756663,10042018,10074710,7875362
161,4812891,8948952,7304982,9717612,9768483,7423202
162,4457422,8537761,6872097,9388366,9455983,6989202
163,4125852,8134436,6458322,9056191,9139094,6573766
164,3816955,7740303,6063766,8722853,8819580,6177087
165,3529499,7356467,5688362,8389971,8499074,5799173
166,3262267,6983826,5331897,8059013,8179074,5439881
167,3014062,6623088,4994036,7731295,7860939,5098939
168,2783723,6274790,4674346,7407984,7545891,4775970
169,2570125,5939318,4372315,7090106,7235015,4470512
170,2372188,5616916,4087369,6778546,6929266,4182035
171,2188880,5307712,3818890,6474061,6629474,3909958
172,2019216,5011725,3566226,6177283,6336346,3653664
173,1862263,4728887,3328705,5888730,6050479,3412510
174,1717138,4459049,3105644,5608818,5772363,3185835
175,1583008,4201999,2896356,5337863,5502393,2972974
176,1459089,3957467,2700157,5076095,5240874,2773261
177,1344647,3725144,2516372,4823666,4988029,2586035
178,1238990,3504679,2344340,4580658,4744011,2410646
179,1141475,3295699,2183417,4347090,4508904,2246459
180,1051499,3097807,2032976,4122927,4282736,2092856
181,968501,2910591,1892416,3908086,4065483,1949238
182,891956,2733631,1761155,3702444,3857078,1815029
183,821380,2566502,1638638,3505843,3657412,1689675
184,756318,2408777,1524332,3318096,3466345,1572646
185,696351,2260032,1417732,3138991,3283709,1463436
186,641090,2119847,1318355,2968297,3109312,1361562
