,one,two,three,four,five,six
0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0383567142604000,1.0383567142604000,1.0383567142604000,1.0383567142604000,1.0383567142604000,1.0383567142604000
2,1.1357321869434000,1.1357321869434000,1.1357321869434000,1.1357321869434000,1.1357321869434000,1.1357321869434000
3,1.276861770965640,1.276861770965640,1.276861770965640,1.276861770965640,1.276861770965640,1.276861770965640
4,1.455564667016990,1.455564667016990,1.455564667016990,1.455564667016990,1.455564667016990,1.455564667016990
5,1.6706446761274400,1.6706446761274400,1.6706446761274400,1.6706446761274400,1.6706446761274400,1.6706446761274400
6,1.9238935821219200,1.9238935821219200,1.9238935821219200,1.9238935821219200,1.9238935821219200,1.9238935821219200
7,2.219106262970400,2.219106262970400,2.219106262970400,2.219106262970400,2.219106262970400,2.219106262970400
8,2.5616143541052600,2.5616143541052600,2.5616143541052600,2.5616143541052600,2.5616143541052600,2.5616143541052600
9,2.9581010264423500,2.9581010264423500,2.9581010264423500,2.9581010264423500,2.9581010264423500,2.9581010264423500
10,3.41657751127893,3.41657751127893,3.41657751127893,3.41657751127893,3.41657751127893,3.41657751127893
11,3.946460094344080,3.946460094344080,3.946460094344080,3.946460094344080,3.946460094344080,3.946460094344080
12,4.558716469151490,4.558716469151490,4.558716469151490,4.558716469151490,4.558716469151490,4.558716469151490
13,5.266066602900660,5.266066602900660,5.266066602900660,5.266066602900660,5.266066602900660,5.266066602900660
14,6.08323240340261,6.08323240340261,6.08323240340261,6.08323240340261,6.08323240340261,6.08323240340261
15,7.0272360883284000,7.0272360883284000,7.0272360883284000,7.0272360883284000,7.0272360883284000,7.0272360883284000
16,8.11775016140215,8.11775016140215,8.11775016140215,8.11775016140215,8.11775016140215,8.11775016140215
17,9.377504908555130,9.377504908555130,9.377504908555130,9.377504908555130,9.377504908555130,9.377504908555130
18,10.832760750711600,10.832760750711600,10.832760750711600,10.832760750711600,10.832760750711600,10.832760750711600
19,12.513854897422900,12.513854897422900,12.513854897422900,12.513854897422900,12.513854897422900,12.513854897422900
20,14.455833168746000,14.455833168746000,14.455833168746000,14.455833168746000,14.455833168746000,14.455833168746000
21,16.699180607133400,16.699180607133400,16.699180607133400,16.699180607133400,16.699180607133400,16.699180607133400
22,19.290665340894100,19.290665340894100,19.290665340894100,19.290665340894100,19.290665340894100,19.290665340894100
23,22.284313177956500,22.284313177956500,22.284313177956500,22.284313177956500,22.284313177956500,22.284313177956500
24,25.742534157961800,25.742534157961800,25.742534157961800,25.742534157961800,25.742534157961800,25.742534157961800
25,29.737423454279100,29.737423454279100,29.737423454279100,29.737423454279100,29.737423454279100,29.737423454279100
26,34.35226436633070,34.35226436633070,34.35226436633070,34.35226436633070,34.35226436633070,34.35226436633070
27,39.68326476106520,39.683264761065100,39.683264761065100,39.683264761065100,39.683264761065100,39.683264761065100
28,45.841562377922100,45.84156237792210,45.841562377922100,45.84156237792210,45.84156237792210,45.841562377922100
29,52.95554190530720,52.95554190530720,52.95554190530720,52.95554190530720,52.95554190530720,52.95554190530720
30,61.17351143470480,61.17351143470480,61.17351143470480,61.17351143470480,61.17351143470480,61.17351143470480
31,70.66679413995860,70.66679413995860,70.66679413995870,70.66679413995860,70.66679413995860,70.66679413995870
32,81.63329988712400,81.63329988712410,81.63329988712420,81.63329988712410,81.63329988712410,81.63329988712420
33,94.30165106853150,94.30165106853170,94.30165106853170,94.30165106853180,94.30165106853180,94.30165106853160
34,108.93594844593900,108.93594844593900,108.93594844593900,108.93594844594000,108.93594844594000,108.93594844593900
35,125.84127707093100,125.84127707093100,125.84127707093100,125.84127707093200,125.84127707093200,125.84127707093100
36,145.37006491218700,145.370064912187,145.37006491218700,145.37006491218800,145.37006491218700,145.37006491218700
37,167.92943183396000,167.92943183395900,167.92943183396000,167.92943183396000,167.92943183396000,167.92943183396000
38,193.9896744419780,193.9896744419770,193.98967444197800,193.98967444197800,193.98967444197700,193.98967444197800
39,224.09407050527100,224.09407050526900,224.0940705052710,224.09407050527000,224.0940705052690,224.0940705052700
40,258.87020306983300,258.8702030698280,258.87020306983200,258.87020306982900,258.87020306982800,258.87020306983000
41,299.0430424688100,299.0430424688000,299.0430424688060,299.04304246880000,299.0430424687990,299.0430424688040
42,345.4500598152520,345.4500598152330,345.450059815243,345.4500598152300,345.45005981522900,345.45005981524000
43,399.0586802473400,399.05868024730300,399.0586802473200,399.0586802472950,399.0586802472940,399.0586802473160
44,460.98644913083400,460.9864491307620,460.9864491307940,460.9864491307450,460.98644913074200,460.9864491307880
45,532.5243243670730,532.5243243669340,532.5243243669920,532.5243243669000,532.5243243668940,532.5243243669830
46,615.1635823887920,615.163582388524,615.1635823886330,615.1635823884540,615.1635823884440,615.1635823886190
47,710.6268985787170,710.6268985782050,710.6268985784080,710.6268985780690,710.6268985780490,710.6268985783860
48,820.9042477958930,820.9042477949140,820.9042477952940,820.904247794651,820.9042477946120,820.9042477952580
49,948.2943781878400,948.2943781860320,948.2943781868260,948.2943781855070,948.2943781854230,948.2943781866160
50,1095.4527063506700,1095.4527063472800,1095.452706348880,1095.4527063462800,1095.452706346090,1095.4527063482800
51,1265.4466115292500,1265.4466115225300,1265.4466115252100,1265.446611520660,1265.4466115203800,1265.4466115248300
52,1461.8194423034100,1461.819442290550,1461.8194422955800,1461.819442286990,1461.8194422864700,1461.8194422950000
53,1688.6642773282600,1688.6642773033500,1688.664277312400,1688.664277296660,1688.664277295760,1688.6642773124100
54,1950.7089829762300,1950.708982929200,1950.708982946940,1950.708982916380,1950.708982914540,1950.7089829458700
