,Date,Infected,Deaths,Recovered
23,2020-02-14,193.98967444197797,9.725464537024061,69.43481368860287
24,2020-02-15,224.0940705052709,11.243596399089684,80.26640011048431
25,2020-02-16,258.87020306983237,12.997320695362921,92.77889358320932
26,2020-02-17,299.0430424688063,15.023197796818026,107.23314510932487
27,2020-02-18,345.450059815243,17.363461725439734,123.93048590216625
28,2020-02-19,399.0586802473202,20.06690039339085,143.21900789092666
29,2020-02-20,460.9864491307935,23.189872780948175,165.50082066909894
30,2020-02-21,532.5243243669918,26.79748372264004,191.24043355875403
31,2020-02-22,615.1635823886326,30.964941015890165,220.9744383955743
32,2020-02-23,710.6268985784077,35.779123295294916,255.32269501754072
33,2020-02-24,820.9042477952937,41.34039086050924,295.00125183471044
34,2020-02-25,948.2943781868255,47.76467794201766,340.83727297010006
35,2020-02-26,1095.452706348884,55.185908944099424,393.7862773923009
36,2020-02-27,1265.4466115252135,63.75878815987445,454.95204240029705
37,2020-02-28,1461.8194422955837,73.66202927685646,525.6096447826349
38,2020-02-29,1688.664277312397,85.1020773493491,607.232015355146
39,2020-03-01,1950.708982946938,98.31740121323641,701.5205631720012
40,2020-03-02,2253.4151541586616,113.58348710405804,810.4408021830754
41,2020-03-03,2603.091377426019,131.21855582018375,936.2631397197094
42,2020-03-04,3007.024834394482,151.59020669974936,1081.610276641063
43,2020-03-05,3473.632904232878,175.12307250263734,1249.5118192625707
44,2020-03-06,4012.6383726242802,202.30766810627546,1443.4674069732996
45,2020-03-07,4635.27167542622,233.71060676060856,1667.5195960404683
46,2020-03-08,5354.504559140373,269.98640670580386,1926.338086527994
47,2020-03-09,6185.319718162678,311.8911198041002,2225.3169455279813
48,2020-03-10,7145.022195161539,360.2980758915001,2570.6869261653533
49,2020-03-11,8253.598861714356,416.216067978047,2969.6451796973365
50,2020-03-12,9534.13336786403,480.81034969105684,3430.505047818505
51,2020-03-13,11013.285075546371,555.426886153607,3962.869042680172
52,2020-03-14,12721.841775273682,641.6203606959239,4577.828596091369
53,2020-03-15,14695.357519575493,741.1865135986613,5288.194727080449
54,2020-03-16,16974.888278217233,856.1994760279738,6108.764301412792
55,2020-03-17,19607.83975231196,989.0548377564629,7056.6271712472935
56,2020-03-18,22648.947981023914,1142.5195181781664,8151.521807401451
57,2020-03-19,26161.40538404664,1319.7891118109073,9416.244197891398
58,2020-03-20,30218.160915582146,1524.5542042338052,10877.120664511072
59,2020-03-21,34903.41836485109,1761.0769391739113,12564.55370367045
60,2020-03-22,40314.35958375128,2034.2792726768325,14513.651064008904
61,2020-03-23,46563.128198964485,2349.8448385735855,16764.951723561804
62,2020-03-24,53779.10995788482,2714.336420020235,19365.262945996892
63,2020-03-25,62111.55199707158,3135.33141675414,22368.625330522817
64,2020-03-26,71732.56705938054,3621.5779924031917,25837.424907145265
65,2020-03-27,82840.57294711849,4183.174996892185,29843.67409349727
66,2020-03-28,95664.22032469073,4831.779195731784,34470.48645617204
67,2020-03-29,110466.85982620952,5580.843734207882,39813.772785045745
68,2020-03-30,127551.59525622198,6445.892454023784,45984.19071044648
69,2020-03-31,147266.9437327001,7444.834866229215,53109.38091858449
70,2020-04-01,170013.0849273689,8598.32749971263,61336.5287409264
71,2020-04-02,196248.58258371003,9930.187206247398,70835.2876066572
72,2020-04-03,226497.2867740508,11467.862429935782,81801.10104192075
73,2020-04-04,261354.7853553258,13242.967456046743,94458.9486212712
74,2020-04-05,301493.16806087585,15291.88282195942,109067.51951320331
75,2020-04-06,347661.77919049613,17656.420897121992,125923.77285692438
76,2020-04-07,400679.94857755536,20384.54572371443,145367.7482537443
77,2020-04-08,461415.1428941819,23531.120742476025,167787.3381844702
78,2020-04-09,530737.5835717045,27158.627985157033,193622.46122447198
79,2020-04-10,609442.6971007553,31337.75701590367,223367.69032771693
80,2020-04-11,698143.2733164043,36147.700538180194,257571.9489568958
81,2020-04-12,797163.7032981369,41675.940439030055,296833.72121180524
82,2020-04-13,906514.7943990014,48017.3231196693,341790.9641217069
83,2020-04-14,1026040.865437414,55272.411908260496,393107.31092710886
84,2020-04-15,1155735.409195078,63545.50855459812,451459.6752379029
85,2020-04-16,1296055.9795945494,72943.1710581661,517534.2498879671
86,2020-04-17,1448036.666304013,83574.11123801471,592035.1265440765
87,2020-04-18,1613171.4116410904,95550.81819660214,675703.5457232537
88,2020-04-19,1793206.123210159,108992.47525116899,769341.267530757
89,2020-04-20,1989970.7046305835,124028.30414972475,873831.7298743819
